url,localizacao,tipo,area_ha,area_m2,descricao,preco,valor_m2,quartos,suites,vagas,creci,total_comodos,categoria_area,categoria_preco
/imovel/rural-0-quartos-venda-colonia-agricola-alexandre-gusmao-brazlandia-df-quadra-1-1234185,"Quadra 1, COLONIA AGRICOLA ALEXANDRE GUSMAO, BRAZLANDIA","Venda Rural 2,00 ha",2.0,20000.0,(61) 98185-8448 FAZENDA COM CHIQUEIROS EM BRAZLÂNDIA!,690000.0,34.0,0,0,15,17610,0,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-ponte-alta-gama-df-ponte-alta-norte-1209014,"Ponte Alta Norte, PONTE ALTA, GAMA","Venda Rural 2,00 ha",2.0,20000.0,,999900.0,50.0,0,0,0,32319,0,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-setor-habitacional-fercal-sobradinho-df-rodovia-df-205-1002773,"Rodovia DF 205, SETOR HABITACIONAL FERCAL, SOBRADINHO","Venda Rural 14,00 ha",14.0,140000.0,* A&M IMÓVEIS VENDE UMA ÓTIMA CHÁCARA COM 14 HECTARES NA FERCAL,490000.0,3.0,0,0,5,28320,0,Grande (10-100 ha),Baixo (≤500k)
/imovel/rural-1-quarto-venda-jardim-botanico-brasilia-df-rodovia-df-140-1211024,"RODOVIA DF 140, JARDIM BOTANICO, BRASILIA","Venda Rural 2,23 ha",2.23,22300.0,ao lado do Reserva Santa Monica,2800000.0,125.0,1,0,0,19421,1,Médio (1-10 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-nucleo-rural-lago-oeste-sobradinho-df-rua-19-982415,"Rua 19, NUCLEO RURAL LAGO OESTE, SOBRADINHO","Venda Rural 0,02 ha",0.02,200.0,,450000.0,1.0,0,0,0,31365,0,Pequeno (≤1 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-brazlandia-brazlandia-df-nucleo-rural-incra-7-1217081,"Núcleo Rural Incra 7, BRAZLANDIA, BRAZLANDIA","Venda Rural 2,40 ha",2.4,24000.0,,1090000.0,45.0,0,0,20,28518,0,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-1-quarto-venda-jardim-botanico-brasilia-df-df140-km-11-986881,"DF140 KM 11, JARDIM BOTANICO, BRASILIA","Venda Rural 3,16 ha",3.16,31600.0,MARAVILHOSA CHACARA PROXIMO ALPHAVILLE NA DF-140!,490000.0,15.0,1,0,0,24203,1,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-centro-sao-sebastiao-df-rua-48-a-1018465,"Rua 48 A, CENTRO, SAO SEBASTIAO","Venda Rural 0,00 ha",0.0,0.0,,450000.0,20.0,0,0,3,31462,0,Pequeno (≤1 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-1089084,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 0,70 ha",0.7,7000.0,CHÁCARA COM RIO NOS FUNDOS PRÓXIMA AO ASFALTO,190000.0,27.0,0,0,1,24770,0,Pequeno (≤1 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-zona-rural-brazlandia-df-rural-1204778,"RURAL, ZONA RURAL, BRAZLANDIA","Venda Rural 10,00 ha",10.0,100000.0,,1500000.0,15.0,0,0,10,31682,0,Médio (1-10 ha),Médio (500k-1.5M)
