url,localizacao,tipo,area_ha,area_m2,descricao,preco,valor_m2,quartos,suites,vagas,creci
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-1220883,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 2,00 ha",2.0,20000.0,Ilha em lugar de muita paz.,2000000.0,100.0,0,0,2,24770
/imovel/rural-0-quartos-venda-zona-rural-ceilandia-df-alexandre-gusmao-gleba-2-chacara-118-a-1149449,"Alexandre Gusmao Gleba 2 Chacara 118 A, ZONA RURAL, CEILANDIA","Venda Rural 7,00 ha",7.0,70000.0,EXCELENTE OPORTUNIDADE,3000000.0,42.0,0,0,4,11145
/imovel/rural-0-quartos-venda-zona-rural-santo-antonio-do-descoberto-go-area-rural-1006437,"Area Rural, ZONA RURAL, SANTO ANTONIO DO DESCOBERTO","Venda Rural 30,00 ha",30.0,300000.0,"CASA EXCELENTE, BOA DE ÁGUA",580000.0,1.0,0,0,0,1539 DF
/imovel/rural-0-quartos-venda-estancias-vila-rica-sobradinho-df-rodovia-br-020-km-128-1040224,"Rodovia BR 020 KM 12,8, ESTANCIAS VILA RICA, SOBRADINHO","Venda Rural 0,04 ha",0.04,400.0,(61) 3595-1212 CHACÁRA 20 MIL METROS / SOBRADINHO DF /  61 3595-1212,1250000.0,3.0,0,0,4,23202
/imovel/rural-0-quartos-venda-zona-rural-ceilandia-df-gleba-03-nucleo-rural-alexandre-gusmao-1132272,"Gleba 03 Nucleo Rural Alexandre Gusmao, ZONA RURAL, CEILANDIA","Venda Rural 5,87 ha",5.87,58700.0,Chácara terreno com  5.87 ha  35 km do Plano de Piloto,1900000.0,32.0,0,0,0,17954
/imovel/rural-4-quartos-venda-setor-oeste-gama-df-nucleo-rural-casa-grande--1148697,"Núcleo Rural Casa Grande , SETOR OESTE, GAMA","Venda Rural 2,00 ha",2.0,20000.0,Propicio para produção rural em pequena escala.,550000.0,27.0,4,3,20,20576
/imovel/rural-3-quartos-venda-setor-oeste-gama-df-ponte-alta-de-cima-1161030,"Ponte Alta de Cima, SETOR OESTE, GAMA","Venda Rural 0,02 ha",0.02,200.0,Núcleo Rural Ponte Alta de Cima -  Chácara com 3 quartos  - tanque de peixe - Ponte Alta Gama,500000.0,3.0,3,0,3,CJ1704
/imovel/rural-0-quartos-venda-zona-rural-luziania-go-area-rural-1177114,"Area Rural, ZONA RURAL, LUZIANIA","Venda Rural 968,00 ha",968.0,9680000.0,Fazenda 20 Alqueires - 39 Km Luziania -GO  - Aceito Troca,2599000.0,0.0,0,0,5,31488
/imovel/rural-3-quartos-venda-samambaia-norte-samambaia-df-nucleo-rural-de-taguatinga-841884,"NUCLEO RURAL DE TAGUATINGA, SAMAMBAIA NORTE, SAMAMBAIA","Venda Rural 0,02 ha",0.02,200.0,,840000.0,3.0,3,3,2,6041
/imovel/rural-0-quartos-venda-area-rural-de-formosa-formosa-go-rural-1184167,"RURAL, AREA RURAL DE FORMOSA, FORMOSA","Venda Rural 295,00 ha",295.0,2950000.0,,8864784.0,3.0,0,0,0,25937
